screen_name, date, text, retweet_count, favourites_count
trovaricetta.com,2020-01-13 08:47:10,"Chiffon cake al caffè e cacao
Ricetta di @gustacinema qui: https://t.co/SJTsByL5Gd
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/Ru5MQho4Mu",2,0
trovaricetta.com,2020-01-13 08:17:04,"Semifreddo ai frutti di bosco
Ricetta qui: https://t.co/6ly24kJCn7
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/4Z8xSvogNj",1,6
trovaricetta.com,2020-01-13 07:47:14,"Ciambella dei Re Magi Light Roscon de Reyes
Ricetta di @fit_with_fun qui: https://t.co/acbnCDuKUt
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/u7qYurempw",4,3
trovaricetta.com,2020-01-13 07:17:04,"Torta Soffice alla Cannella
Ricetta qui: https://t.co/gF9VmmDqa3
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/BxvoTJQJMO",4,3
trovaricetta.com,2020-01-12 15:17:05,"Amaretti secchi, ricetta semplice con soli albumi
Ricetta qui: https://t.co/1S8xlnYYSD
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/LOi1o6flSz",6,2
trovaricetta.com,2020-01-12 14:47:14,"Mousse di castagne
Ricetta qui: https://t.co/OlA8LP23DG
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/hUSB8QUuV7",1,5
trovaricetta.com,2020-01-12 14:17:05,"Budino vegan al cioccolato fondente con mandorle la ricetta
Ricetta di @VerdeinTavola qui: https://t.co/zt8GDGRRoE
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/kmBzNnJi0E",3,4
trovaricetta.com,2020-01-12 12:47:14,"Pasta al forno con ragù bianco e zucca gialla
Ricetta qui: https://t.co/yvK2CaOZsN
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/2kh1P0rbk8",3,0
trovaricetta.com,2020-01-12 12:17:04,"Pasta al forno con le polpette
Ricetta qui: https://t.co/UzeDbz07Ar
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/fz6IrNppI4",1,4
trovaricetta.com,2020-01-12 11:47:04,"gnocchi ragu fagioli
Ricetta qui: https://t.co/nSPBACNntK
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/5GLe0vXbEX",3,1
trovaricetta.com,2020-01-12 11:17:04,"Funghi pleurotus trifolati
Ricetta di @ApritiS qui: https://t.co/caqJCJ30TM
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/ON5vItjKVa",4,3
trovaricetta.com,2020-01-12 10:47:03,"Penne integrali con pesto di peperoni, pecorino e noci
Ricetta di @mathincucina qui: https://t.co/mM9Mz6v7rS
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/XVlW70xlVo",8,5
trovaricetta.com,2020-01-12 10:17:04,"Crostini di polenta con crema al gorgonzola e noci
Ricetta qui: https://t.co/wqQ4YkOarW
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/OQzhT6YNQN",4,8
trovaricetta.com,2020-01-12 09:47:15,"Mele cotte al forno alla cannella: la ricetta che viene una bomba
Ricetta di @LiliMadeleine1 qui: https://t.co/S7r6NkU03K
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/XPw44TYL1c",5,7
trovaricetta.com,2020-01-12 09:17:04,"BISCOTTI CON FARINA DI RISO SOLO CON ALBUMI
Ricetta qui: https://t.co/lJHJq5GPsp
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/gh35qft4Px",5,5
trovaricetta.com,2020-01-12 08:47:03,"Albero di meringhe -Christmas meringue tree
Ricetta di @dolcidasogno qui: https://t.co/tChWlzeuhD
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/tRidJwlFO1",2,3
trovaricetta.com,2020-01-12 08:17:04,"Torta alle pere e succo d’arancia
Ricetta di @michelesroma qui: https://t.co/PS5KWjc2Au
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/Tt6TC3rcaK",6,8
trovaricetta.com,2020-01-12 07:47:14,"Plumcake yogurt e cioccolato
Ricetta qui: https://t.co/9xORjzx0ou
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/nAMupBOLUp",4,1
trovaricetta.com,2020-01-12 07:17:04,"Biscotti con farina di sorgo e di piselli, naturalmente dolci e gustosi
Ricetta di @laNonnaPaperina qui: https://t.co/vf4iLrKBYp
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/kBDD5VRXyw",3,0
trovaricetta.com,2020-01-11 18:17:04,"Albero di Panini alle erbe
Ricetta qui: https://t.co/SDLpLrLyfw
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/J3buE1M2IQ",1,0
trovaricetta.com,2020-01-11 17:47:19,"Sangria bianca d’inverno, con agrumi e spezie
Ricetta di @PosateSpaiate qui: https://t.co/3DRMV5Sjxs
 #ricette #food #foodblog #cucina #cucinaitaliana https://t.co/iCz6Kzsit6",4,1
