screen_name,retweet_count,plain_text_len,question_marks,esclamation_marks,emojis,hashtags,tags,urls,verbs,nouns,adjs,advs
KitchenSanc2ary,2,47,0,0,2,0,15,0,1,4,1,2
KitchenSanc2ary,4,47,0,0,2,0,16,0,1,4,1,2
KitchenSanc2ary,3,47,0,0,2,0,16,0,1,4,1,2
KitchenSanc2ary,34,120,0,2,0,5,0,2,1,9,4,2
KitchenSanc2ary,36,111,0,0,0,5,0,1,4,7,3,2
KitchenSanc2ary,23,91,0,0,0,4,0,2,2,8,2,0
KitchenSanc2ary,47,96,0,1,0,8,0,1,2,5,4,0
KitchenSanc2ary,49,53,0,0,1,0,1,1,0,9,0,0
KitchenSanc2ary,39,101,0,1,0,5,0,2,1,11,2,0
KitchenSanc2ary,45,122,0,2,1,4,0,2,3,11,2,0
KitchenSanc2ary,4,40,0,0,2,0,14,0,0,4,1,2
KitchenSanc2ary,4,40,0,0,2,0,15,0,0,4,1,2
KitchenSanc2ary,1,40,0,0,2,0,17,0,0,4,1,2
KitchenSanc2ary,2,40,0,0,2,0,15,0,0,4,1,2
KitchenSanc2ary,3,40,0,0,2,0,15,0,0,4,1,2
KitchenSanc2ary,9,40,0,0,2,0,16,0,0,4,1,2
KitchenSanc2ary,2,40,0,0,2,0,16,0,0,4,1,2
KitchenSanc2ary,6,40,0,0,2,0,16,0,0,4,1,2
KitchenSanc2ary,5,40,0,0,2,0,15,0,0,4,1,2
KitchenSanc2ary,25,113,0,1,0,4,0,2,2,10,4,0
KitchenSanc2ary,15,105,0,1,0,6,0,2,5,7,2,2
KitchenSanc2ary,35,78,0,0,0,4,0,2,0,9,3,0
KitchenSanc2ary,30,72,0,1,0,3,0,2,1,8,0,1
KitchenSanc2ary,73,110,0,1,0,5,0,1,3,9,3,0
KitchenSanc2ary,37,131,0,1,0,3,0,2,5,8,3,2
KitchenSanc2ary,56,100,0,1,0,5,0,2,2,10,3,0
KitchenSanc2ary,3,34,0,0,1,1,15,0,1,3,0,2
KitchenSanc2ary,4,34,0,0,1,1,15,0,1,3,0,2
KitchenSanc2ary,3,34,0,0,1,1,14,0,1,3,0,2
KitchenSanc2ary,3,34,0,0,1,1,15,0,1,3,0,2
KitchenSanc2ary,0,34,0,0,1,1,15,0,1,3,0,2
KitchenSanc2ary,3,34,0,0,1,1,16,0,1,3,0,2
KitchenSanc2ary,7,34,0,0,1,1,15,0,1,3,0,2
KitchenSanc2ary,35,104,0,0,0,6,0,1,4,8,2,2
KitchenSanc2ary,43,162,0,1,0,4,0,1,2,16,3,3
deliciousmag,5,76,0,1,0,0,0,1,3,5,1,1
deliciousmag,8,66,0,0,0,0,0,1,5,2,1,1
deliciousmag,6,39,0,0,0,0,0,1,1,3,1,2
deliciousmag,8,65,0,0,0,0,0,1,1,6,2,0
deliciousmag,10,48,0,0,0,0,0,1,2,5,2,0
deliciousmag,10,91,1,0,0,0,0,1,4,8,1,1
deliciousmag,4,96,0,0,0,0,0,1,3,7,3,1
deliciousmag,13,97,1,0,0,0,0,1,4,7,2,1
deliciousmag,10,58,0,0,0,0,0,1,0,5,2,1
deliciousmag,5,58,0,0,0,0,0,1,2,4,0,0
deliciousmag,9,60,0,0,0,0,0,1,2,5,1,1
deliciousmag,8,39,0,0,0,0,0,1,1,3,1,0
deliciousmag,8,26,0,0,0,0,0,1,1,2,0,0
deliciousmag,9,133,0,0,0,0,0,1,4,11,2,1
deliciousmag,12,74,0,0,0,0,0,1,1,5,1,0
deliciousmag,12,79,0,0,0,0,0,1,3,6,3,0
deliciousmag,2,29,0,0,0,0,0,1,0,4,0,0
deliciousmag,5,53,0,0,0,0,0,1,2,6,0,0
deliciousmag,4,103,0,0,0,0,0,1,2,7,3,0
deliciousmag,6,115,0,1,0,0,0,1,4,7,2,0
deliciousmag,6,34,0,0,0,0,0,1,0,3,2,0
deliciousmag,3,75,0,0,0,0,0,1,2,5,0,1
deliciousmag,5,99,0,0,0,1,1,1,4,8,2,1
deliciousmag,7,57,0,1,0,0,0,1,1,7,0,0
deliciousmag,2,100,0,0,0,1,1,1,2,8,4,0
deliciousmag,3,76,0,0,0,1,0,1,3,4,3,0
deliciousmag,15,53,0,0,0,0,0,1,2,6,0,0
deliciousmag,4,29,0,0,0,1,0,1,1,1,1,0
deliciousmag,15,119,0,0,0,0,0,1,1,9,5,2
deliciousmag,4,72,0,0,0,1,1,1,1,6,4,0
deliciousmag,4,47,1,0,0,0,0,1,2,1,1,2
deliciousmag,3,66,0,0,0,1,0,1,3,5,2,0
deliciousmag,3,60,0,1,0,0,0,1,2,5,0,0
deliciousmag,5,101,0,1,0,0,0,1,2,4,4,1
deliciousmag,8,41,1,0,0,0,0,1,4,0,1,1
deliciousmag,10,33,1,0,0,0,0,1,1,3,1,0
deliciousmag,8,54,0,0,0,0,0,1,2,4,0,0
deliciousmag,5,48,0,0,1,1,0,1,3,1,1,2
deliciousmag,3,50,0,0,0,0,0,1,2,2,2,0
deliciousmag,4,46,0,0,0,0,0,1,2,4,0,0
deliciousmag,8,59,0,0,0,0,0,1,1,5,2,0
deliciousmag,5,96,0,0,0,0,0,1,1,7,3,2
deliciousmag,6,97,0,0,0,0,0,1,4,7,2,2
deliciousmag,16,23,0,1,0,0,0,1,1,2,0,0
deliciousmag,7,84,1,0,0,0,0,1,5,5,0,0
deliciousmag,7,85,0,0,0,0,0,1,2,9,3,0
deliciousmag,6,106,1,0,0,0,0,1,3,10,3,0
deliciousmag,3,77,0,0,0,0,0,1,2,7,3,0
deliciousmag,6,75,0,0,0,0,0,1,1,7,1,0
deliciousmag,3,76,0,0,0,0,0,1,1,6,2,0
deliciousmag,5,21,0,0,0,1,0,1,1,1,0,1
deliciousmag,4,42,0,0,0,0,0,1,4,1,2,2
deliciousmag,9,139,0,0,0,0,0,1,1,14,3,1
deliciousmag,1,87,0,1,0,0,0,1,2,4,4,3
deliciousmag,2,79,0,2,2,0,1,1,0,10,1,1
deliciousmag,8,124,0,0,0,0,0,1,4,6,7,3
deliciousmag,31,168,0,1,0,0,0,1,5,12,3,1
deliciousmag,6,70,0,0,0,0,0,1,2,7,1,0
deliciousmag,7,46,0,0,0,0,0,1,0,4,1,0
deliciousmag,7,93,0,0,0,0,0,1,4,7,1,2
deliciousmag,0,28,0,0,0,0,0,1,0,2,1,0
deliciousmag,3,61,0,0,0,0,0,1,2,3,1,1
deliciousmag,2,64,1,0,0,0,0,1,2,4,0,3
deliciousmag,11,89,0,0,0,0,0,1,3,3,4,2
deliciousmag,10,83,0,0,1,0,0,1,2,3,4,0
